Date,Price,Open,High,Low,Vol.,Change %
28/02/08,"17,630.94","17,662.19","17,762.91","17,529.79",,-0.38%
27/02/08,"17,697.79","17,638.21","17,852.42","17,559.72",,0.18%
26/02/08,"17,665.56","17,405.65","17,689.77","17,243.90",,1.12%
25/02/08,"17,469.08","17,303.17","17,493.61","17,279.17",,0.66%
22/02/08,"17,354.56","17,145.59","17,354.56","17,052.47",,1.85%
21/02/08,"17,039.65","17,188.94","17,270.93","17,004.46",,-0.51%
20/02/08,"17,127.54","16,735.96","17,211.09","16,675.47",,1.99%
19/02/08,"16,792.65","17,041.82","17,104.57","16,767.20",,-0.87%
18/02/08,"16,940.05","16,822.00","16,983.14","16,742.54",,1.54%
15/02/08,"16,682.78","16,633.24","16,758.69","16,555.02",,-0.34%
14/02/08,"16,739.67","16,952.43","17,051.39","16,706.84",,-0.76%
13/02/08,"16,868.03","16,569.47","16,898.88","16,569.47",,1.76%
12/02/08,"16,576.18","16,329.15","16,648.44","16,329.15",,1.69%
11/02/08,"16,301.24","16,033.74","16,323.56","15,976.12",,2.47%
08/02/08,"15,908.74","15,989.01","16,018.71","15,856.92",,-0.42%
07/02/08,"15,976.08","15,966.45","16,054.97","15,847.05",,-0.34%
06/02/08,"16,029.98","16,123.56","16,200.78","15,951.15",,-2.01%
01/02/08,"16,358.64","16,245.46","16,386.99","16,112.59",,1.67%
31/01/08,"16,089.95","16,079.56","16,126.12","15,779.78",,-0.48%
30/01/08,"16,168.05","16,207.39","16,207.78","16,068.07",,-0.57%
29/01/08,"16,261.43","16,346.81","16,509.92","16,243.27",,-0.49%
28/01/08,"16,341.31","15,889.21","16,364.57","15,781.67",,2.21%
24/01/08,"15,987.42","15,802.51","16,030.12","15,728.01",,2.90%
23/01/08,"15,537.14","15,866.02","15,866.02","15,347.71",,-2.64%
22/01/08,"15,957.79","15,440.64","15,971.57","15,406.54",,3.33%
21/01/08,"15,443.79","15,801.21","15,801.21","15,313.13",,-4.74%
18/01/08,"16,211.90","16,300.32","16,405.29","16,015.26",,0.05%
17/01/08,"16,203.85","16,458.69","16,573.17","16,146.75",,-1.49%
16/01/08,"16,448.88","16,535.30","16,631.15","16,316.96",,-0.92%
15/01/08,"16,602.09","16,938.94","16,985.27","16,526.92",,-2.50%
14/01/08,"17,027.87","17,032.34","17,091.37","16,942.58",,0.52%
11/01/08,"16,940.24","17,217.81","17,279.53","16,940.24",,-2.45%
10/01/08,"17,365.78","17,215.57","17,414.07","17,108.28",,0.88%
09/01/08,"17,213.81","17,006.04","17,213.81","16,880.57",,0.94%
08/01/08,"17,054.26","17,089.65","17,212.25","16,947.21",,0.71%
07/01/08,"16,934.50","16,966.55","17,012.80","16,785.66",,0.24%
04/01/08,"16,893.17","17,324.40","17,342.58","16,730.80",,-2.02%
03/01/08,"17,241.10","16,992.82","17,317.13","16,992.82",,1.39%
02/01/08,"17,005.44","17,270.12","17,393.82","16,960.02",,-1.73%
28/12/07,"17,305.63","17,401.44","17,532.20","17,205.78",,-0.34%
27/12/07,"17,364.75","17,293.22","17,364.75","17,135.23",,0.83%
26/12/07,"17,222.48","16,681.33","17,280.38","16,681.33",,3.72%
21/12/07,"16,605.22","16,483.32","16,724.80","16,455.72",,1.77%
20/12/07,"16,316.94","16,523.29","16,546.08","16,242.37",,-0.68%
19/12/07,"16,429.45","16,285.09","16,587.82","16,250.47",,0.32%
18/12/07,"16,377.72","16,209.31","16,433.70","16,018.17",,1.83%
17/12/07,"16,083.58","16,524.26","16,533.65","16,073.14",,-3.25%
