"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2007","6,215.79","6,215.79","6,215.79","6,215.79","","0.86%"
"Jun 08, 2007","6,163.04","6,163.04","6,163.04","6,163.04","","0.01%"
"Jun 06, 2007","6,162.70","6,162.70","6,162.70","6,162.70","","-1.81%"
"Jun 05, 2007","6,276.40","6,276.40","6,276.40","6,276.40","","-0.19%"
"Jun 04, 2007","6,288.38","6,288.38","6,288.38","6,288.38","","-0.33%"
"Jun 01, 2007","6,308.90","6,308.90","6,308.90","6,308.90","","2.01%"
"May 31, 2007","6,184.55","6,184.55","6,184.55","6,184.55","","0.13%"
"May 30, 2007","6,176.60","6,176.60","6,176.60","6,176.60","","1.05%"
"May 29, 2007","6,112.26","6,112.26","6,112.26","6,112.26","","-0.66%"
"May 28, 2007","6,153.05","6,153.05","6,153.05","6,153.05","","1.13%"
"May 25, 2007","6,084.13","6,084.13","6,084.13","6,084.13","","1.90%"
"May 24, 2007","5,970.44","5,970.44","5,970.44","5,970.44","","-2.38%"
"May 23, 2007","6,116.22","6,116.22","6,116.22","6,116.22","","-0.38%"
"May 22, 2007","6,139.31","6,139.31","6,139.31","6,139.31","","-0.73%"
"May 21, 2007","6,184.20","6,184.20","6,184.20","6,184.20","","0.20%"
"May 18, 2007","6,172.14","6,172.14","6,172.14","6,172.14","","1.01%"
"May 17, 2007","6,110.70","6,110.70","6,110.70","6,110.70","","-0.04%"
"May 16, 2007","6,113.16","6,113.16","6,113.16","6,113.16","","2.10%"
"May 15, 2007","5,987.48","5,987.48","5,987.48","5,987.48","","0.17%"
"May 14, 2007","5,977.46","5,977.46","5,977.46","5,977.46","","-1.11%"
"May 11, 2007","6,044.52","6,044.52","6,044.52","6,044.52","","1.13%"
"May 10, 2007","5,976.75","5,976.75","5,976.75","5,976.75","","-2.03%"
"May 09, 2007","6,100.56","6,100.56","6,100.56","6,100.56","","2.64%"
"May 08, 2007","5,943.84","5,943.84","5,943.84","5,943.84","","0.15%"
"May 07, 2007","5,934.98","5,934.98","5,934.98","5,934.98","","-0.21%"
"May 04, 2007","5,947.38","5,947.38","5,947.38","5,947.38","","1.00%"
"May 03, 2007","5,888.42","5,888.42","5,888.42","5,888.42","","1.71%"
"May 02, 2007","5,789.70","5,789.70","5,789.70","5,789.70","","1.33%"
"Apr 30, 2007","5,713.51","5,713.51","5,713.51","5,713.51","","-0.80%"
"Apr 27, 2007","5,759.49","5,759.49","5,759.49","5,759.49","","0.29%"
"Apr 26, 2007","5,742.95","5,742.95","5,742.95","5,742.95","","-0.79%"
"Apr 25, 2007","5,788.91","5,788.91","5,788.91","5,788.91","","1.15%"
"Apr 24, 2007","5,722.93","5,722.93","5,722.93","5,722.93","","-0.37%"
"Apr 23, 2007","5,744.46","5,744.46","5,744.46","5,744.46","","-0.31%"
"Apr 20, 2007","5,762.46","5,762.46","5,762.46","5,762.46","","1.36%"
"Apr 19, 2007","5,685.38","5,685.38","5,685.38","5,685.38","","0.32%"
"Apr 18, 2007","5,667.45","5,667.45","5,667.45","5,667.45","","-0.05%"
"Apr 17, 2007","5,670.04","5,670.04","5,670.04","5,670.04","","0.54%"
"Apr 16, 2007","5,639.49","5,639.49","5,639.49","5,639.49","","2.23%"
"Apr 13, 2007","5,516.54","5,516.54","5,516.54","5,516.54","","0.59%"
"Apr 12, 2007","5,483.96","5,483.96","5,483.96","5,483.96","","0.49%"
